ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_one,one,1493,ONE,1
2_two,two,1498,TWO,2
3_three,three,492,THREE,3
4_four,four,1500,FOUR,4
5_five,five,493,FIVE,5
6_six,six,1703,SIX,6
7_seven,seven,1704,SEVEN,7
8_eight,eight,1705,EIGHT,8
9_nine,nine,1483,NINE,9
10_ten,ten,1515,TEN,10
