ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CommonTranscription
Lampungic-8_eight-1,58,Lampungic,8_eight,oallo,oallo,,,VonRosenberg1853,,,,,
Rejang-8_eight-1,59,Rejang,8_eight,delapon,delapon,,,VonRosenberg1853,,,,,
Batakic-8_eight-1,60,Batakic,8_eight,oallo,oallo,,,VonRosenberg1853,,,,,
Acehnese-8_eight-1,61,Acehnese,8_eight,dlappang,dlappang,,,VonRosenberg1853,,,,,
Nias-8_eight-1,62,Nias,8_eight,walloe,walloe,,,VonRosenberg1853,,,,,
Mentawai-8_eight-1,63,Mentawai,8_eight,walloe,walloe,,,VonRosenberg1853,,,,,
Enggano-8_eight-1,64,Enggano,8_eight,alima-agoloe,alima-agoloe,,,VonRosenberg1853,,,,,
CentralMalay-9_nine-1,65,CentralMalay,9_nine,sembilan,sembilan,,,VonRosenberg1853,,,,,
Lampungic-9_nine-1,66,Lampungic,9_nine,sewa,sewa,,,VonRosenberg1853,,,,,
Rejang-9_nine-1,67,Rejang,9_nine,sempilan,sempilan,,,VonRosenberg1853,,,,,
Batakic-9_nine-1,68,Batakic,9_nine,sea,sea,,,VonRosenberg1853,,,,,
Acehnese-9_nine-1,69,Acehnese,9_nine,sakorang,sakorang,,,VonRosenberg1853,,,,,
Nias-9_nine-1,70,Nias,9_nine,siwa,siwa,,,VonRosenberg1853,,,,,
Mentawai-9_nine-1,71,Mentawai,9_nine,siwa,siwa,,,VonRosenberg1853,,,,,
Enggano-9_nine-1,72,Enggano,9_nine,alima-aöpa,alima-aöpa,,,VonRosenberg1853,,,,,
CentralMalay-10_ten-1,73,CentralMalay,10_ten,sapoeloe,sapoeloe,,,VonRosenberg1853,,,,,
Lampungic-10_ten-1,74,Lampungic,10_ten,polo,polo,,,VonRosenberg1853,,,,,
Rejang-10_ten-1,75,Rejang,10_ten,depoolo,depoolo,,,VonRosenberg1853,,,,,
Batakic-10_ten-1,76,Batakic,10_ten,sapolo,sapolo,,,VonRosenberg1853,,,,,
Acehnese-10_ten-1,77,Acehnese,10_ten,sapolo,sapolo,,,VonRosenberg1853,,,,,
Nias-10_ten-1,78,Nias,10_ten,foeloe,foeloe,,,VonRosenberg1853,,,,,
Mentawai-10_ten-1,79,Mentawai,10_ten,poeloe,poeloe,,,VonRosenberg1853,,,,,
Enggano-10_ten-1,80,Enggano,10_ten,tahapoeloe,tahapoeloe,,,VonRosenberg1853,,,,,
