ID	Form	Dutch	English	Doculect_orig	Doculect	Glottocode	Glottolog_name	Concepticon_ID	Concepticon_Gloss
67	sempilan	negen	nine	Redjangsch	Rejang	reja1240	Rejang	1483	NINE
68	sea	negen	nine	Battasch	Batakic	toba1265	Batakic	1483	NINE
69	sakorang	negen	nine	Atjinesch	Acehnese	achi1257	Acehnese	1483	NINE
70	siwa	negen	nine	Niasch	Nias	nias1242	Nias	1483	NINE
71	siwa	negen	nine	Mentaweijsch	Mentawai	ment1249	Mentawai	1483	NINE
72	alima-aöpa	negen	nine	Engganoosch	Enggano	engg1245	Enggano	1483	NINE
73	sapoeloe	tien	ten	Maleisch	CentralMalay	mala1479	Central Malay	1515	TEN
74	polo	tien	ten	Lampongsch	Lampungic	lamp1241	Lampungic	1515	TEN
75	depoolo	tien	ten	Redjangsch	Rejang	reja1240	Rejang	1515	TEN
76	sapolo	tien	ten	Battasch	Batakic	toba1265	Batakic	1515	TEN
77	sapolo	tien	ten	Atjinesch	Acehnese	achi1257	Acehnese	1515	TEN
78	foeloe	tien	ten	Niasch	Nias	nias1242	Nias	1515	TEN
79	poeloe	tien	ten	Mentaweijsch	Mentawai	ment1249	Mentawai	1515	TEN
80	tahapoeloe	tien	ten	Engganoosch	Enggano	engg1245	Enggano	1515	TEN
