Grapheme	IPA	Frequency
^s	s	6
a$	a	4
^d	d	4
oe	u	4
^t	t	4
l	l	6
o$	o	6
^p	p	2
a	a	14
t$	t	2
^l	l	2
e	e	2
m	m	2
ng$	ŋ	6
^n	n	2
m$	m	2
o	o	6
j	j	2
pp	pː	2
k	k	2
r	r	2
p	p	2
