Grapheme	IPA	Frequency
^s	s	6
a	a	14
t	t	2
oe$	u	6
^d	d	4
oe	u	6
a$	a	6
^t	t	4
i	i	6
g	g	2
^a	a	4
m	m	6
p	p	6
t$	t	2
^l	l	2
n	n	2
m$	m	2
dj	d͡ʒ	2
e	e	4
l	l	6
n$	n	4
b	b	2
