Grapheme	IPA	Frequency
^s	s	4
a	a	6
r	r	2
a$	a	8
^d	d	2
oe	u	4
^f	f	6
e	e	4
l	l	4
oe$	u	8
^e	e	4
ff	fː	2
^l	l	2
i	i	6
m	m	2
ng$	ŋ	2
+	+	2
n	n	2
m$	m	2
t	t	2
^w	w	2
ll	lː	2
w	w	2
