Grapheme	IPA	Frequency
^s	s	6
a	a	12
d	d	2
a$	a	6
^d	d	2
oe	u	2
o$	o	10
^t	t	2
o	o	4
l	l	4
^o	o	6
p	p	4
t$	t	2
^l	l	2
e	e	4
m	m	2
n	n	2
m$	m	2
^p	p	2
i	i	2
t	t	2
ll	lː	2
