Grapheme	IPA	Frequency
^s	s	4
i	i	2
j	j	2
e$	e	2
^r	r	2
o	o	4
w	w	4
a$	a	8
^p	p	6
u	u	2
ll	lː	4
o$	o	8
^a	a	4
m	m	4
p	p	2
^l	l	2
e	e	6
n	n	2
a	a	4
m$	m	2
t	t	2
^o	o	2
l	l	2
