Grapheme	IPA	Frequency
^d	d	8
o$	o	4
oo	oː	6
i	i	4
j$	j	2
^t	t	4
e	e	10
ll	lː	2
a	a	8
u$	u	2
^m	m	2
p	p	8
t$	t	2
^l	l	2
m	m	4
a$	a	4
^n	n	2
m$	m	2
o	o	6
j	j	2
l	l	6
n$	n	4
^s	s	2
